suite,task,condition,method,seed,score,eta,beta,rank
ablation,synthetic_2d,concentrated,plain,10001,0.7002606987953186,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10002,0.7422767877578735,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10003,0.7414098381996155,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10004,0.6670190691947937,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10005,0.8360553979873657,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10006,0.7153624296188354,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10007,0.7111557126045227,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10008,0.6778889298439026,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10009,0.6899746060371399,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10010,0.7140952944755554,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10011,0.735231339931488,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10012,0.74698406457901,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10013,0.8016719222068787,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10014,0.7525040507316589,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10015,0.7662543058395386,0.1,0.0,4
ablation,synthetic_2d,concentrated,plain,10016,0.6900929808616638,0.1,0.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10001,0.7156985402107239,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10002,0.740326464176178,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10003,0.7378535270690918,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10004,0.6540107727050781,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10005,0.886241614818573,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10006,0.7140140533447266,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10007,0.713515043258667,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10008,0.6628113985061646,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10009,0.6771247386932373,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10010,0.7432116866111755,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10011,0.7238204479217529,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10012,0.757441520690918,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10013,0.8426483273506165,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10014,0.745698869228363,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10015,0.7734677195549011,0.05,3.0,4
ablation,synthetic_2d,concentrated,diag_query_trace,10016,0.6960449814796448,0.05,3.0,4
ablation,synthetic_2d,concentrated,last_query,10001,0.5369080305099487,0.02,100.0,4
