suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
ablation,synthetic_2d,concentrated,plain,0.7305148392915726,0.04500475689764917,0.011251189224412293,0.706533497132197,0.7544961814509481,0.0,0.1,0.0,4,5,13.58180022239685
ablation,synthetic_2d,concentrated,diag_query_trace,0.7364956066012383,0.06036844002456556,0.01509211000614139,0.7043275355871169,0.7686636776153596,-0.818705793227365,0.05,3.0,4,25,20.534905910491943
ablation,synthetic_2d,concentrated,last_query,0.6129803881049156,0.043383765135940534,0.010845941283985134,0.5898628114840024,0.6360979647258288,16.08926264942649,0.02,100.0,4,25,17.9169442653656
ablation,synthetic_2d,concentrated,random_query_trace_r4,0.7351580932736397,0.05311517010313285,0.013278792525783213,0.7068550169789826,0.7634611695682968,-0.6356139166960622,0.1,1.0,4,25,22.33097553253174
ablation,synthetic_2d,concentrated,full_query_trace,0.5046796500682831,0.04666840965277873,0.011667102413194682,0.4798118099316852,0.529547490204881,30.91452453481937,0.02,30.0,4,25,21.77984046936035
ablation,synthetic_2d,concentrated,dqd_r1,0.5745242387056351,0.02963606245463247,0.007409015613658117,0.5587322957428615,0.5903161816684086,21.35351565715101,0.02,100.0,1,25,24.459071159362793
ablation,synthetic_2d,concentrated,dqd_r2,0.5361014250665903,0.03731058107934691,0.009327645269836728,0.5162200197950583,0.5559828303381223,26.613205340704305,0.02,100.0,2,25,24.134575843811035
ablation,synthetic_2d,concentrated,dqd_r4,0.4987252242863178,0.03408805913285301,0.008522014783213253,0.4805609797493881,0.5168894688232475,31.729624442678826,0.02,30.0,4,25,24.20270013809204
ablation,synthetic_2d,concentrated,dqd_r8,0.5040147174149752,0.04553270065477817,0.011383175163694543,0.47975205388529624,0.528277380944654,31.005547005211994,0.02,30.0,8,25,24.410228729248047
ablation,synthetic_2d,concentrated,dqd_r16,0.5388514753431082,0.05857072007670923,0.014642680019177307,0.5076413416704622,0.5700616090157542,26.236751622230255,0.02,30.0,16,25,23.805264949798584
ablation,word,observed,plain,0.7717935964465141,0.03906140432800112,0.00976535108200028,0.7509792433205574,0.7926079495724708,0.0,0.05,0.0,4,5,35.27066397666931
ablation,word,observed,diag_query_trace,0.6305906474590302,0.0181670446169084,0.0045417611542271,0.6209101127108139,0.6402711822072464,18.29542893820439,0.02,10.0,4,25,61.684871435165405
ablation,word,observed,last_query,0.6164788119494915,0.012425268803802967,0.0031063172009507417,0.6098578535631619,0.6230997703358211,20.123875763173174,0.02,30.0,4,25,64.01386904716492
ablation,word,observed,random_query_trace_r4,0.7586896382272243,0.06398095315490278,0.015995238288725695,0.7245965948456069,0.7927826816088418,1.69785785728502,0.02,10.0,4,25,67.3461480140686
ablation,word,observed,full_query_trace,0.6143245995044708,0.009550959197371858,0.0023877397993429645,0.6092352525942474,0.6194139464146943,20.402993451495426,0.02,10.0,4,25,63.660481691360474
ablation,word,observed,dqd_r1,0.6133718378841877,0.008148866794944679,0.0020372166987361697,0.6090296132774606,0.6177140624909148,20.526441174393078,0.02,10.0,1,25,71.30974268913269
ablation,word,observed,dqd_r2,0.6255135759711266,0.013894781321683416,0.003473695330420854,0.6181095696376895,0.6329175823045636,18.95325656352798,0.02,10.0,2,25,72.59984374046326
ablation,word,observed,dqd_r4,0.6277578212320805,0.016375461012875226,0.0040938652532188065,0.6190319539985262,0.6364836884656347,18.662473474462864,0.02,10.0,4,25,83.4624240398407
ablation,word,observed,dqd_r8,0.625905092805624,0.019922633919595725,0.004980658479898931,0.6152890705520573,0.6365211150591907,18.90252838486725,0.02,10.0,8,25,128.32078790664673
ablation,word,observed,dqd_r16,0.6251878812909126,0.0143739110746233,0.003593477768655825,0.6175285647339337,0.6328471978478916,18.995456276211975,0.02,10.0,16,25,70.65025067329407
ablation,module,observed,plain,0.8923332318663597,0.021879083369828828,0.005469770842457207,0.8806746912898906,0.9039917724428288,0.0,0.02,0.0,4,5,13.870141983032227
ablation,module,observed,diag_query_trace,0.6469812542200089,0.023679732446816187,0.005919933111704047,0.6343632154793257,0.659599292960692,27.49555534687248,0.02,10.0,4,25,23.18404984474182
ablation,module,observed,last_query,0.6183223202824593,0.022194228576633668,0.005548557144158417,0.6064958506790329,0.6301487898858856,30.707240501487643,0.02,10.0,4,25,20.64813232421875
ablation,module,observed,random_query_trace_r4,0.865531325340271,0.18756823752070892,0.04689205938017723,0.7655832666840514,0.9654793839964906,3.003575970159845,0.02,10.0,4,25,25.588574647903442
ablation,module,observed,full_query_trace,0.6034670881927013,0.017103272124026826,0.0042758180310067066,0.5943533977936177,0.612580778591785,32.37200334559773,0.02,10.0,4,25,25.256067991256714
ablation,module,observed,dqd_r1,0.6010207235813141,0.014403089893054982,0.0036007724732637454,0.5933458587295135,0.6086955884331147,32.646157050068716,0.02,10.0,1,25,28.23459219932556
ablation,module,observed,dqd_r2,0.6056314148008823,0.019044295709166097,0.004761073927291524,0.5954834259421825,0.6157794036595822,32.12945644373528,0.02,10.0,2,25,27.90043830871582
ablation,module,observed,dqd_r4,0.6111390590667725,0.02244019389467262,0.005610048473668155,0.5991815237970067,0.6230965943365382,31.512238114393156,0.02,10.0,4,25,27.440651893615723
ablation,module,observed,dqd_r8,0.621094137430191,0.022171070045689432,0.005542767511422358,0.6092800081368289,0.6329082667235532,30.396614711844645,0.02,10.0,8,25,27.61507487297058
ablation,module,observed,dqd_r16,0.6377303749322891,0.028685554474024533,0.007171388618506133,0.622444921920345,0.6530158279442333,28.53226214623386,0.02,10.0,16,25,27.183698654174805
