suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
main,synthetic_2d,concentrated,plain,0.7305148392915726,0.04500475689764917,0.011251189224412293,0.706533497132197,0.7544961814509481,0.0,0.1,0.0,4,5,14.0167818069458
main,synthetic_2d,concentrated,write_diag,0.730597510933876,0.04447200388633448,0.01111800097158362,0.706900052815466,0.7542949690522861,-0.011316901157495833,0.05,1.0,4,25,16.98014235496521
main,synthetic_2d,concentrated,write_trace,0.7347371987998486,0.05341660395235283,0.013354150988088207,0.7062734997449573,0.7632008978547398,-0.5779977737852225,0.1,1.0,8,75,46.1927216053009
main,synthetic_2d,concentrated,dqd,0.5040147174149752,0.04553270065477817,0.011383175163694543,0.47975205388529624,0.528277380944654,31.005547005211994,0.02,30.0,8,75,41.381762742996216
main,synthetic_2d,concentrated,full_query_trace,0.5046796500682831,0.04666840965277873,0.011667102413194682,0.4798118099316852,0.529547490204881,30.91452453481937,0.02,30.0,4,25,22.131396770477295
main,synthetic_2d,concentrated,query_moment_reference,0.5037785954773426,0.046136754577709285,0.011534188644427321,0.4791940543327825,0.5283631366219027,31.037869680253277,0.02,30.0,4,25,14.872431993484497
main,synthetic_2d,concentrated,weighted_linear_reference,0.0975575164790432,0.00885191471174352,0.00221297867793588,0.09284066408162431,0.1022743688764621,86.645375120148,0.0,0.0,4,1,0.9877884387969971
main,synthetic_2d,uniform,plain,0.7213937416672707,0.004599433817571079,0.0011498584543927699,0.7189428763871977,0.7238446069473436,0.0,0.1,0.0,4,5,16.218106031417847
main,synthetic_2d,uniform,write_diag,0.7214674204587936,0.004526511627543004,0.001131627906885751,0.7190554126709198,0.7238794282466675,-0.010213394886500513,0.05,1.0,4,25,17.60302472114563
main,synthetic_2d,uniform,write_trace,0.7242101989686489,0.005124331318088587,0.0012810828295221467,0.7214796355538401,0.7269407623834577,-0.39041887095789196,0.1,1.0,2,75,45.30366373062134
main,synthetic_2d,uniform,dqd,0.7240003310143948,0.005059538032922777,0.0012648845082306943,0.7213042935041414,0.7266963685246481,-0.3613268589078418,0.1,1.0,2,75,41.03720450401306
main,synthetic_2d,uniform,full_query_trace,0.7221803739666939,0.00438812168361781,0.0010970304209044525,0.7198421089745923,0.7245186389587954,-0.10904340500725292,0.05,1.0,4,25,21.373502492904663
main,synthetic_2d,uniform,query_moment_reference,0.7211523279547691,0.004344494515973421,0.0010861236289933553,0.71883731023933,0.7234673456702083,0.03346490252931435,0.05,1.0,4,25,14.740015745162964
main,synthetic_2d,uniform,weighted_linear_reference,0.6892987743319932,0.0036422004363232635,0.0009105501090808159,0.6873579827157839,0.6912395659482025,4.4490221471980425,0.0,0.0,4,1,0.9987201690673828
main,word,observed,plain,0.7717935964465141,0.03906140432800112,0.00976535108200028,0.7509792433205574,0.7926079495724708,0.0,0.05,0.0,4,5,45.48423171043396
main,word,observed,write_diag,0.6560993194580078,0.030677876851655676,0.007669469212913919,0.6397522327894613,0.6724464061265544,14.990313151234343,0.02,10.0,4,25,57.81469225883484
main,word,observed,write_trace,0.6421388164162636,0.0243489692292072,0.0060872423073018,0.6291641665666556,0.6551134662658715,16.799152082526476,0.02,10.0,4,75,136.01990747451782
main,word,observed,dqd,0.6277578212320805,0.016375461012875226,0.0040938652532188065,0.6190319539985262,0.6364836884656347,18.662473474462864,0.02,10.0,4,75,125.26135158538818
main,word,observed,full_query_trace,0.6143245995044708,0.009550959197371858,0.0023877397993429645,0.6092352525942474,0.6194139464146943,20.402993451495426,0.02,10.0,4,25,64.86054825782776
main,word,observed,query_moment_reference,0.6144822835922241,0.009659762800795136,0.002414940700198784,0.6093349593342328,0.6196296078502155,20.382562589088778,0.02,10.0,4,25,41.899259090423584
main,word,observed,weighted_linear_reference,0.5359818265597318,0.005265876344948339,0.0013164690862370848,0.5331758391241289,0.5387878139953347,30.553734958738314,0.0,0.0,4,1,1.3419108390808105
main,word,uniform,plain,0.8027874939143658,0.0038332736047629427,0.0009583184011907357,0.8007448865936466,0.8048301012350849,0.0,0.05,0.0,4,5,36.334754943847656
main,word,uniform,write_diag,0.8054451495409012,0.004283583338152436,0.001070895834538109,0.8031625891010336,0.8077277099807688,-0.33105344150003796,0.05,1.0,4,25,57.52311301231384
main,word,uniform,write_trace,0.8061321340501308,0.004466712675468063,0.0011166781688670157,0.8037519908745632,0.8085122772256985,-0.4166283307998134,0.05,1.0,2,75,127.76382946968079
main,word,uniform,dqd,0.8063875809311867,0.00460651160926782,0.001151627902316955,0.8039329441621398,0.8088422177002336,-0.4484483184045382,0.05,1.0,8,75,126.87833857536316
main,word,uniform,full_query_trace,0.8060406818985939,0.004418896229323497,0.0011047240573308743,0.8036860183086275,0.8083953454885603,-0.4052365051634892,0.05,1.0,4,25,69.24336504936218
main,word,uniform,query_moment_reference,0.8059761971235275,0.004412341365085661,0.0011030853412714152,0.8036250263741614,0.8083273678728936,-0.39720389683871943,0.05,1.0,4,25,43.76901054382324
