suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
robustness,module,alpha_0.00,dqd,plain,0.002230539917945862,0.0014569582027039278,0.003004121633187796,6.145806190585513,1.8721204606006626e-05,1,0,16
robustness,module,alpha_0.00,dqd,write_trace,3.4030526876449585e-05,-0.0001181240824901933,0.00018618513624309247,0.4767147794462718,0.6404356070195549,8,0,16
robustness,module,alpha_0.00,dqd,full_query_trace,0.000552251935005188,0.00023172441233499313,0.0008727794576753828,3.6723746095034486,0.002263636518526108,4,0,16
robustness,module,alpha_0.25,dqd,plain,-0.02178361266851425,-0.023559837099794242,-0.02000738823723426,-26.140092718737094,6.326535591303938e-14,16,0,16
robustness,module,alpha_0.25,dqd,write_trace,-0.0027011744678020477,-0.003527338556452306,-0.0018750103791517893,-6.968854215485536,4.508831060088392e-06,15,0,16
robustness,module,alpha_0.25,dqd,full_query_trace,0.0010060407221317291,0.00018457051748740373,0.0018275109267760544,2.6103503546185007,0.019688958035167067,6,0,16
robustness,module,alpha_0.50,dqd,plain,-0.0925443135201931,-0.09698155516033319,-0.08810707188005301,-44.45408904764709,2.4293394542410195e-17,16,0,16
robustness,module,alpha_0.50,dqd,write_trace,-0.01604372262954712,-0.020396184638457358,-0.01169126062063688,-7.8567912224902035,1.0748634384411108e-06,16,0,16
robustness,module,alpha_0.50,dqd,full_query_trace,0.0006768554449081421,-0.0015504323213457569,0.002904143211162041,0.6477309543549814,0.5269495125568054,7,0,16
robustness,module,alpha_0.75,dqd,plain,-0.201524555683136,-0.20792959146034695,-0.19511951990592502,-67.06276710555773,5.2470629040716683e-20,16,0,16
robustness,module,alpha_0.75,dqd,write_trace,-0.028881274163722992,-0.034509085654018806,-0.023253462673427174,-10.938351221889603,1.516536383967539e-08,16,0,16
robustness,module,alpha_0.75,dqd,full_query_trace,0.0006475560367107391,-0.0026831495557900014,0.00397826162921148,0.4143965840988674,0.6844490300329558,9,0,16
robustness,module,alpha_1.00,dqd,plain,-0.28670181706547737,-0.2925136683501138,-0.28088996578084097,-105.14557716069878,6.256396663870213e-23,16,0,16
robustness,module,alpha_1.00,dqd,write_trace,-0.03905733674764633,-0.046034406263506904,-0.03208026723178576,-11.931763396119761,4.672938295829985e-09,16,0,16
robustness,module,alpha_1.00,dqd,full_query_trace,0.0021643266081809998,-0.0017845637627396625,0.006113216979101662,1.168215000198603,0.26095291527582765,8,0,16
robustness,module,alpha_1.25,dqd,plain,-0.33213547617197037,-0.339044512565211,-0.3252264397787297,-102.46436253302531,9.212479955857693e-23,16,0,16
robustness,module,alpha_1.25,dqd,write_trace,-0.04574831947684288,-0.05414784260002924,-0.03734879635365652,-11.60902033710087,6.788690183243234e-09,16,0,16
robustness,module,alpha_1.25,dqd,full_query_trace,0.002832561731338501,4.5004370415418354e-05,0.005620119092261584,2.165861230217307,0.04684362513520605,5,0,16
