suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
robustness,word,alpha_0.25,dqd,plain,-0.00876934826374054,-0.011401915047338763,-0.006136781480142316,-7.100075670655369,3.624055925339821e-06,16,0,16
robustness,word,alpha_0.25,dqd,write_trace,-0.00037582218647003174,-0.0008088919675762905,5.72475946362271e-05,-1.8496927366218472,0.08415867476520716,11,0,16
robustness,word,alpha_0.25,dqd,full_query_trace,0.0008183978497982025,0.00027294444370453016,0.0013638512558918749,3.1980251760304146,0.00598800982213966,4,0,16
robustness,word,alpha_0.50,dqd,plain,-0.035283543169498444,-0.04145165069253453,-0.02911543564646236,-12.192571509734732,3.4764025850669817e-09,16,0,16
robustness,word,alpha_0.50,dqd,write_trace,-0.0038763917982578278,-0.006822103062757011,-0.0009306805337586442,-2.804868771892773,0.013328138692794506,14,0,16
robustness,word,alpha_0.50,dqd,full_query_trace,0.005249258130788803,0.0024852868389178143,0.008013229422659793,4.047990256012982,0.001051580295480141,1,0,16
robustness,word,alpha_0.75,dqd,plain,-0.08259816095232964,-0.0943045313862978,-0.07089179051836147,-15.03914587522592,1.8711357286915169e-10,16,0,16
robustness,word,alpha_0.75,dqd,write_trace,-0.009547553956508636,-0.013679021223252692,-0.005416086689764581,-4.925642206005197,0.00018297422337306118,14,0,16
robustness,word,alpha_0.75,dqd,full_query_trace,0.009517334401607513,0.005698563940195751,0.013336104863019276,5.312107205768794,8.702470415883222e-05,0,0,16
robustness,word,alpha_1.00,dqd,plain,-0.14403577521443367,-0.16169268404403764,-0.1263788663848297,-17.387244312569493,2.3736097439803197e-11,16,0,16
robustness,word,alpha_1.00,dqd,write_trace,-0.01438099518418312,-0.021640866300219892,-0.007121124068146348,-4.222163886946704,0.0007390803376525406,14,0,16
robustness,word,alpha_1.00,dqd,full_query_trace,0.013433221727609634,0.007144888331197539,0.01972155512402173,4.553230966260112,0.0003807431786324423,1,0,16
robustness,word,alpha_1.25,dqd,plain,-0.20354121923446655,-0.22719442407265805,-0.17988801439627505,-18.341609190286167,1.101633341757151e-11,16,0,16
robustness,word,alpha_1.25,dqd,write_trace,-0.01809767261147499,-0.030039769536912037,-0.006155575686037943,-3.2301091093345033,0.005607218803125878,13,0,16
robustness,word,alpha_1.25,dqd,full_query_trace,0.017898917198181152,0.001963325933625852,0.03383450846273645,2.394052300583514,0.03017355380362791,1,0,16
