condition,method,seed,score,eta,beta,rank
ordered,plain,30001,0.16208314895629883,0.1,0.0,4
ordered,plain,30002,0.15218506753444672,0.1,0.0,4
ordered,plain,30003,0.16164229810237885,0.1,0.0,4
ordered,plain,30004,0.20849914848804474,0.1,0.0,4
ordered,plain,30005,0.17694120109081268,0.1,0.0,4
ordered,plain,30006,0.18030884861946106,0.1,0.0,4
ordered,plain,30007,0.18658138811588287,0.1,0.0,4
ordered,plain,30008,0.18181249499320984,0.1,0.0,4
ordered,plain,30009,0.15491902828216553,0.1,0.0,4
ordered,plain,30010,0.14972932636737823,0.1,0.0,4
ordered,plain,30011,0.16761378943920135,0.1,0.0,4
ordered,plain,30012,0.1840304583311081,0.1,0.0,4
ordered,plain,30013,0.16118650138378143,0.1,0.0,4
ordered,plain,30014,0.17615291476249695,0.1,0.0,4
ordered,plain,30015,0.1619701236486435,0.1,0.0,4
ordered,plain,30016,0.18458466231822968,0.1,0.0,4
ordered,write_trace,30001,0.15913088619709015,0.05,3.0,2
ordered,write_trace,30002,0.14857687056064606,0.05,3.0,2
ordered,write_trace,30003,0.15752971172332764,0.05,3.0,2
ordered,write_trace,30004,0.20629927515983582,0.05,3.0,2
ordered,write_trace,30005,0.17171749472618103,0.05,3.0,2
ordered,write_trace,30006,0.18005968630313873,0.05,3.0,2
ordered,write_trace,30007,0.1852354258298874,0.05,3.0,2
ordered,write_trace,30008,0.1796993762254715,0.05,3.0,2
ordered,write_trace,30009,0.15557430684566498,0.05,3.0,2
ordered,write_trace,30010,0.14711272716522217,0.05,3.0,2
ordered,write_trace,30011,0.1668296903371811,0.05,3.0,2
ordered,write_trace,30012,0.18127496540546417,0.05,3.0,2
ordered,write_trace,30013,0.157383993268013,0.05,3.0,2
ordered,write_trace,30014,0.17363379895687103,0.05,3.0,2
ordered,write_trace,30015,0.16116321086883545,0.05,3.0,2
ordered,write_trace,30016,0.18530064821243286,0.05,3.0,2
ordered,dqd,30001,0.15762747824192047,0.02,10.0,1
ordered,dqd,30002,0.14653871953487396,0.02,10.0,1
ordered,dqd,30003,0.15880724787712097,0.02,10.0,1
ordered,dqd,30004,0.2012496143579483,0.02,10.0,1
ordered,dqd,30005,0.16958366334438324,0.02,10.0,1
ordered,dqd,30006,0.17448477447032928,0.02,10.0,1
ordered,dqd,30007,0.18057188391685486,0.02,10.0,1
ordered,dqd,30008,0.17723138630390167,0.02,10.0,1
ordered,dqd,30009,0.15133023262023926,0.02,10.0,1
ordered,dqd,30010,0.14848896861076355,0.02,10.0,1
ordered,dqd,30011,0.16457276046276093,0.02,10.0,1
ordered,dqd,30012,0.17877022922039032,0.02,10.0,1
ordered,dqd,30013,0.15593011677265167,0.02,10.0,1
ordered,dqd,30014,0.17173850536346436,0.02,10.0,1
ordered,dqd,30015,0.15945746004581451,0.02,10.0,1
ordered,dqd,30016,0.1816893368959427,0.02,10.0,1
ordered,full_query_trace,30001,0.15787993371486664,0.02,10.0,4
ordered,full_query_trace,30002,0.14587236940860748,0.02,10.0,4
ordered,full_query_trace,30003,0.15759098529815674,0.02,10.0,4
ordered,full_query_trace,30004,0.20127125084400177,0.02,10.0,4
ordered,full_query_trace,30005,0.16955804824829102,0.02,10.0,4
ordered,full_query_trace,30006,0.1760195642709732,0.02,10.0,4
ordered,full_query_trace,30007,0.18101656436920166,0.02,10.0,4
ordered,full_query_trace,30008,0.17729686200618744,0.02,10.0,4
ordered,full_query_trace,30009,0.15154404938220978,0.02,10.0,4
