suite,task,condition,method,seed,score,eta,beta,rank
robustness,synthetic_2d,concentrated,plain,10001,0.7002606987953186,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10002,0.7422767877578735,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10003,0.7414098381996155,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10004,0.6670190691947937,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10005,0.8360553979873657,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10006,0.7153624296188354,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10007,0.7111557126045227,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10008,0.6778889298439026,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10009,0.6899746060371399,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10010,0.7140952944755554,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10011,0.735231339931488,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10012,0.74698406457901,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10013,0.8016719222068787,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10014,0.7525040507316589,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10015,0.7662543058395386,0.1,0.0,4
robustness,synthetic_2d,concentrated,plain,10016,0.6900929808616638,0.1,0.0,4
robustness,synthetic_2d,concentrated,write_trace,10001,0.71277916431427,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10002,0.7463180422782898,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10003,0.7371275424957275,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10004,0.6604011058807373,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10005,0.8609850406646729,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10006,0.7190603613853455,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10007,0.7237793207168579,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10008,0.6707693338394165,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10009,0.6727440357208252,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10010,0.7241395115852356,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10011,0.7451071739196777,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10012,0.7599237561225891,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10013,0.8221537470817566,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10014,0.7586398720741272,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10015,0.7594335079193115,0.1,1.0,8
robustness,synthetic_2d,concentrated,write_trace,10016,0.6824336647987366,0.1,1.0,8
robustness,synthetic_2d,concentrated,dqd,10001,0.47469764947891235,0.02,30.0,8
