suite,task,condition,method,seed,score,eta,beta,rank
robustness,word,alpha_0.25,plain,10001,0.7876608967781067,0.05,0.0,4
robustness,word,alpha_0.25,plain,10002,0.7965220808982849,0.05,0.0,4
robustness,word,alpha_0.25,plain,10003,0.7925044894218445,0.05,0.0,4
robustness,word,alpha_0.25,plain,10004,0.7837805151939392,0.05,0.0,4
robustness,word,alpha_0.25,plain,10005,0.7767147421836853,0.05,0.0,4
robustness,word,alpha_0.25,plain,10006,0.7966320514678955,0.05,0.0,4
robustness,word,alpha_0.25,plain,10007,0.7904617786407471,0.05,0.0,4
robustness,word,alpha_0.25,plain,10008,0.7897585034370422,0.05,0.0,4
robustness,word,alpha_0.25,plain,10009,0.7821421027183533,0.05,0.0,4
robustness,word,alpha_0.25,plain,10010,0.7872448563575745,0.05,0.0,4
robustness,word,alpha_0.25,plain,10011,0.7911417484283447,0.05,0.0,4
robustness,word,alpha_0.25,plain,10012,0.799582839012146,0.05,0.0,4
robustness,word,alpha_0.25,plain,10013,0.7844963669776917,0.05,0.0,4
robustness,word,alpha_0.25,plain,10014,0.7867500185966492,0.05,0.0,4
robustness,word,alpha_0.25,plain,10015,0.7989570498466492,0.05,0.0,4
robustness,word,alpha_0.25,plain,10016,0.7873632311820984,0.05,0.0,4
robustness,word,alpha_0.25,write_trace,10001,0.7805494666099548,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10002,0.7836610078811646,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10003,0.7826992869377136,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10004,0.7778530716896057,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10005,0.7721090912818909,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10006,0.7875314950942993,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10007,0.7861214280128479,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10008,0.7784228920936584,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10009,0.78420490026474,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10010,0.7813738584518433,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10011,0.7764974236488342,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10012,0.7794063091278076,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10013,0.7803995013237,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10014,0.7799899578094482,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10015,0.7870076298713684,0.02,3.0,8
robustness,word,alpha_0.25,write_trace,10016,0.7795895338058472,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10001,0.7798922657966614,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10002,0.7824570536613464,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10003,0.782305896282196,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10004,0.7776129245758057,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10005,0.7722358703613281,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10006,0.7873051762580872,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10007,0.7852473258972168,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10008,0.7783347368240356,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10009,0.781367838382721,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10010,0.781445324420929,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10011,0.7761542201042175,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10012,0.7789736390113831,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10013,0.7807374596595764,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10014,0.78047776222229,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10015,0.7876321077346802,0.02,3.0,8
robustness,word,alpha_0.25,dqd,10016,0.7792240977287292,0.02,3.0,8
robustness,word,alpha_0.25,full_query_trace,10001,0.7786805033683777,0.02,3.0,4
robustness,word,alpha_0.25,full_query_trace,10002,0.781190812587738,0.02,3.0,4
robustness,word,alpha_0.25,full_query_trace,10003,0.7818503379821777,0.02,3.0,4
