suite,task,condition,method,seed,score,eta,beta,rank
main,synthetic_2d,concentrated,plain,10001,0.7002606987953186,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10002,0.7422767877578735,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10003,0.7414098381996155,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10004,0.6670190691947937,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10005,0.8360553979873657,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10006,0.7153624296188354,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10007,0.7111557126045227,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10008,0.6778889298439026,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10009,0.6899746060371399,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10010,0.7140952944755554,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10011,0.735231339931488,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10012,0.74698406457901,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10013,0.8016719222068787,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10014,0.7525040507316589,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10015,0.7662543058395386,0.1,0.0,4
main,synthetic_2d,concentrated,plain,10016,0.6900929808616638,0.1,0.0,4
main,synthetic_2d,concentrated,write_diag,10001,0.7003941535949707,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10002,0.7428090572357178,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10003,0.7418417930603027,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10004,0.6677217483520508,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10005,0.8340758085250854,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10006,0.7154222726821899,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10007,0.7112627625465393,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10008,0.6786844730377197,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10009,0.6908071041107178,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10010,0.7136543989181519,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10011,0.7353156805038452,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10012,0.7468505501747131,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10013,0.8010995388031006,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10014,0.7532575726509094,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10015,0.7660361528396606,0.05,1.0,4
main,synthetic_2d,concentrated,write_diag,10016,0.6903271079063416,0.05,1.0,4
main,synthetic_2d,concentrated,write_trace,10001,0.71277916431427,0.1,1.0,8
