suite,task,condition,method,seed,score,eta,beta,rank
robustness,module,alpha_0.00,plain,10001,0.7280137538909912,0.05,0.0,4
robustness,module,alpha_0.00,plain,10002,0.7286404371261597,0.05,0.0,4
robustness,module,alpha_0.00,plain,10003,0.7313879728317261,0.05,0.0,4
robustness,module,alpha_0.00,plain,10004,0.7317212820053101,0.05,0.0,4
robustness,module,alpha_0.00,plain,10005,0.7332277894020081,0.05,0.0,4
robustness,module,alpha_0.00,plain,10006,0.7335108518600464,0.05,0.0,4
robustness,module,alpha_0.00,plain,10007,0.7327994704246521,0.05,0.0,4
robustness,module,alpha_0.00,plain,10008,0.7280482649803162,0.05,0.0,4
robustness,module,alpha_0.00,plain,10009,0.7322754859924316,0.05,0.0,4
robustness,module,alpha_0.00,plain,10010,0.7316251993179321,0.05,0.0,4
robustness,module,alpha_0.00,plain,10011,0.7327892184257507,0.05,0.0,4
robustness,module,alpha_0.00,plain,10012,0.7337082028388977,0.05,0.0,4
robustness,module,alpha_0.00,plain,10013,0.7326996326446533,0.05,0.0,4
robustness,module,alpha_0.00,plain,10014,0.7315093874931335,0.05,0.0,4
robustness,module,alpha_0.00,plain,10015,0.7324352264404297,0.05,0.0,4
robustness,module,alpha_0.00,plain,10016,0.7299106121063232,0.05,0.0,4
robustness,module,alpha_0.00,write_trace,10001,0.7293339371681213,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10002,0.7328283786773682,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10003,0.7328587770462036,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10004,0.7322136759757996,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10005,0.734330952167511,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10006,0.7366920113563538,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10007,0.7322003841400146,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10008,0.731985330581665,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10009,0.7365007400512695,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10010,0.7343981266021729,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10011,0.7351071238517761,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10012,0.7345709800720215,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10013,0.7363219261169434,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10014,0.7331457734107971,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10015,0.7343480587005615,0.02,1.0,8
robustness,module,alpha_0.00,write_trace,10016,0.7326107621192932,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10001,0.7295452356338501,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10002,0.7329826354980469,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10003,0.7326446175575256,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10004,0.7321272492408752,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10005,0.7342650294303894,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10006,0.737063467502594,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10007,0.7327559590339661,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10008,0.7320255041122437,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10009,0.7369465231895447,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10010,0.7341387867927551,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10011,0.7348009943962097,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10012,0.7341818809509277,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10013,0.736205518245697,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10014,0.7334141731262207,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10015,0.7345004677772522,0.02,1.0,8
robustness,module,alpha_0.00,dqd,10016,0.7323933839797974,0.02,1.0,8
robustness,module,alpha_0.00,full_query_trace,10001,0.7295650839805603,0.02,1.0,4
robustness,module,alpha_0.00,full_query_trace,10002,0.7313719391822815,0.02,1.0,4
