suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
robustness,word,alpha_0.25,plain,0.7894820794463158,0.006324189976973097,0.0015810474942432743,0.7861121564832032,0.7928520024094283,0.0,0.05,0.0,4,5,48.03794860839844
robustness,word,alpha_0.25,write_trace,0.7810885533690453,0.004059675042155378,0.0010149187605388444,0.7789253052381151,0.7832518014999754,1.0631686640888802,0.02,3.0,8,75,128.2124502658844
robustness,word,alpha_0.25,dqd,0.7807127311825752,0.003935459775873428,0.000983864943968357,0.7786156726948621,0.7828097896702884,1.1107723014929878,0.02,3.0,8,75,120.16381239891052
robustness,word,alpha_0.25,full_query_trace,0.779894333332777,0.003464103367837272,0.000866025841959318,0.7780484429454902,0.7817402237200638,1.2144349267893297,0.02,3.0,4,25,65.92785120010376
robustness,word,alpha_0.50,plain,0.7768228948116302,0.016450731384770555,0.004112682846192639,0.7680569188280834,0.7855888707951771,0.0,0.05,0.0,4,5,38.57624292373657
robustness,word,alpha_0.50,write_trace,0.7454157434403896,0.007792215466418791,0.0019480538666046977,0.74126356491169,0.7495679219690893,4.043025969111847,0.02,3.0,4,75,119.50281691551208
robustness,word,alpha_0.50,dqd,0.7415393516421318,0.00942874959001923,0.0023571873975048075,0.736515125634922,0.7465635776493416,4.5420318331444465,0.02,10.0,8,75,118.8900785446167
robustness,word,alpha_0.50,full_query_trace,0.736290093511343,0.005281483443867198,0.0013203708609667996,0.7334757896397656,0.7391043973829204,5.217766053369982,0.02,10.0,4,25,66.608651638031
robustness,word,alpha_0.75,plain,0.7697474434971809,0.027497020386259872,0.006874255096564968,0.7550953155955487,0.7843995713988132,0.0,0.05,0.0,4,5,38.59572768211365
robustness,word,alpha_0.75,write_trace,0.6966968365013599,0.017855051782985576,0.004463762945746394,0.6871825509991643,0.7062111220035556,9.490204561632758,0.02,10.0,4,75,127.415860414505
robustness,word,alpha_0.75,dqd,0.6871492825448513,0.012598565357675817,0.003149641339418954,0.680435980943272,0.6938625841464306,10.730553462712752,0.02,10.0,4,75,125.39529037475586
robustness,word,alpha_0.75,full_query_trace,0.6776319481432438,0.009079732489132662,0.0022699331222831654,0.6727937002213032,0.6824701960651843,11.966976458594045,0.02,10.0,4,25,65.46914410591125
robustness,word,alpha_1.00,plain,0.7717935964465141,0.03906140432800112,0.00976535108200028,0.7509792433205574,0.7926079495724708,0.0,0.05,0.0,4,5,37.55678200721741
robustness,word,alpha_1.00,write_trace,0.6421388164162636,0.0243489692292072,0.0060872423073018,0.6291641665666556,0.6551134662658715,16.799152082526476,0.02,10.0,4,75,118.16109728813171
robustness,word,alpha_1.00,dqd,0.6277578212320805,0.016375461012875226,0.0040938652532188065,0.6190319539985262,0.6364836884656347,18.662473474462864,0.02,10.0,4,75,119.56423950195312
robustness,word,alpha_1.00,full_query_trace,0.6143245995044708,0.009550959197371858,0.0023877397993429645,0.6092352525942474,0.6194139464146943,20.402993451495426,0.02,10.0,4,25,65.68053007125854
robustness,word,alpha_1.25,plain,0.7885773442685604,0.05032533135709516,0.01258133283927379,0.7617608681057597,0.8153938204313611,0.0,0.05,0.0,4,5,38.67505073547363
robustness,word,alpha_1.25,write_trace,0.6031337976455688,0.02870970355467811,0.007177425888669527,0.5878354764968785,0.6184321187942592,23.516215368195553,0.02,10.0,2,75,119.63506960868835
robustness,word,alpha_1.25,dqd,0.5850361250340939,0.02177302530072092,0.00544325632518023,0.5734340988134256,0.5966381512547622,25.811192866979944,0.02,10.0,4,75,120.547691822052
robustness,word,alpha_1.25,full_query_trace,0.5671372078359127,0.03499235971328106,0.008748089928320265,0.5484910955336824,0.585783320138143,28.080966064025464,0.02,30.0,4,25,66.90609383583069
