condition,method,seed,score,eta,beta,rank
observed,plain,30001,0.16646628081798553,0.1,0.0,4
observed,plain,30002,0.166512593626976,0.1,0.0,4
observed,plain,30003,0.16781358420848846,0.1,0.0,4
observed,plain,30004,0.17118360102176666,0.1,0.0,4
observed,plain,30005,0.17298102378845215,0.1,0.0,4
observed,plain,30006,0.17584511637687683,0.1,0.0,4
observed,plain,30007,0.1719580441713333,0.1,0.0,4
observed,plain,30008,0.1715666502714157,0.1,0.0,4
observed,plain,30009,0.17212820053100586,0.1,0.0,4
observed,plain,30010,0.16712799668312073,0.1,0.0,4
observed,plain,30011,0.17127323150634766,0.1,0.0,4
observed,plain,30012,0.1677752286195755,0.1,0.0,4
observed,plain,30013,0.16562692821025848,0.1,0.0,4
observed,plain,30014,0.16873902082443237,0.1,0.0,4
observed,plain,30015,0.16916216909885406,0.1,0.0,4
observed,plain,30016,0.17336507141590118,0.1,0.0,4
observed,write_trace,30001,0.16430208086967468,0.05,3.0,2
observed,write_trace,30002,0.16281402111053467,0.05,3.0,2
observed,write_trace,30003,0.16421686112880707,0.05,3.0,2
observed,write_trace,30004,0.16870610415935516,0.05,3.0,2
observed,write_trace,30005,0.16816040873527527,0.05,3.0,2
observed,write_trace,30006,0.17610709369182587,0.05,3.0,2
observed,write_trace,30007,0.17055730521678925,0.05,3.0,2
observed,write_trace,30008,0.16940505802631378,0.05,3.0,2
observed,write_trace,30009,0.1729329228401184,0.05,3.0,2
observed,write_trace,30010,0.16249369084835052,0.05,3.0,2
observed,write_trace,30011,0.1697949916124344,0.05,3.0,2
observed,write_trace,30012,0.16580337285995483,0.05,3.0,2
observed,write_trace,30013,0.16167113184928894,0.05,3.0,2
observed,write_trace,30014,0.16643385589122772,0.05,3.0,2
observed,write_trace,30015,0.16864758729934692,0.05,3.0,2
observed,write_trace,30016,0.17283160984516144,0.05,3.0,2
observed,dqd,30001,0.16176240146160126,0.02,10.0,1
observed,dqd,30002,0.1603681892156601,0.02,10.0,1
observed,dqd,30003,0.1644033044576645,0.02,10.0,1
observed,dqd,30004,0.16575485467910767,0.02,10.0,1
observed,dqd,30005,0.16539007425308228,0.02,10.0,1
observed,dqd,30006,0.17061278223991394,0.02,10.0,1
observed,dqd,30007,0.16684019565582275,0.02,10.0,1
observed,dqd,30008,0.16736960411071777,0.02,10.0,1
observed,dqd,30009,0.16840766370296478,0.02,10.0,1
observed,dqd,30010,0.16496163606643677,0.02,10.0,1
observed,dqd,30011,0.16816860437393188,0.02,10.0,1
observed,dqd,30012,0.16362899541854858,0.02,10.0,1
observed,dqd,30013,0.15957607328891754,0.02,10.0,1
observed,dqd,30014,0.1643495112657547,0.02,10.0,1
observed,dqd,30015,0.16646696627140045,0.02,10.0,1
observed,dqd,30016,0.16979965567588806,0.02,10.0,1
observed,full_query_trace,30001,0.16156814992427826,0.02,10.0,4
observed,full_query_trace,30002,0.16048523783683777,0.02,10.0,4
observed,full_query_trace,30003,0.16397731006145477,0.02,10.0,4
observed,full_query_trace,30004,0.16578081250190735,0.02,10.0,4
observed,full_query_trace,30005,0.16589877009391785,0.02,10.0,4
observed,full_query_trace,30006,0.17175351083278656,0.02,10.0,4
observed,full_query_trace,30007,0.16728901863098145,0.02,10.0,4
observed,full_query_trace,30008,0.16747483611106873,0.02,10.0,4
observed,full_query_trace,30009,0.16858017444610596,0.02,10.0,4
observed,full_query_trace,30010,0.16439758241176605,0.02,10.0,4
observed,full_query_trace,30011,0.1678953766822815,0.02,10.0,4
observed,full_query_trace,30012,0.16330359876155853,0.02,10.0,4
observed,full_query_trace,30013,0.1601375937461853,0.02,10.0,4
observed,full_query_trace,30014,0.16405311226844788,0.02,10.0,4
observed,full_query_trace,30015,0.16622035205364227,0.02,10.0,4
observed,full_query_trace,30016,0.16945421695709229,0.02,10.0,4
uniform,plain,30001,0.16260956227779388,0.1,0.0,4
uniform,plain,30002,0.1638932228088379,0.1,0.0,4
uniform,plain,30003,0.16375595331192017,0.1,0.0,4
uniform,plain,30004,0.16098520159721375,0.1,0.0,4
uniform,plain,30005,0.16922220587730408,0.1,0.0,4
uniform,plain,30006,0.16732197999954224,0.1,0.0,4
uniform,plain,30007,0.16515980660915375,0.1,0.0,4
uniform,plain,30008,0.16162601113319397,0.1,0.0,4
uniform,plain,30009,0.16226160526275635,0.1,0.0,4
uniform,plain,30010,0.16341876983642578,0.1,0.0,4
uniform,plain,30011,0.16093972325325012,0.1,0.0,4
uniform,plain,30012,0.16450710594654083,0.1,0.0,4
uniform,plain,30013,0.16348877549171448,0.1,0.0,4
uniform,plain,30014,0.16172027587890625,0.1,0.0,4
uniform,plain,30015,0.16498622298240662,0.1,0.0,4
uniform,plain,30016,0.1630704700946808,0.1,0.0,4
uniform,write_trace,30001,0.1629502773284912,0.1,1.0,2
uniform,write_trace,30002,0.16059498488903046,0.1,1.0,2
uniform,write_trace,30003,0.16037052869796753,0.1,1.0,2
uniform,write_trace,30004,0.15918833017349243,0.1,1.0,2
uniform,write_trace,30005,0.17009904980659485,0.1,1.0,2
uniform,write_trace,30006,0.1637944132089615,0.1,1.0,2
uniform,write_trace,30007,0.1657114326953888,0.1,1.0,2
uniform,write_trace,30008,0.1586584895849228,0.1,1.0,2
uniform,write_trace,30009,0.15968775749206543,0.1,1.0,2
uniform,write_trace,30010,0.16049988567829132,0.1,1.0,2
uniform,write_trace,30011,0.15773120522499084,0.1,1.0,2
uniform,write_trace,30012,0.1631484180688858,0.1,1.0,2
uniform,write_trace,30013,0.16061408817768097,0.1,1.0,2
uniform,write_trace,30014,0.16001418232917786,0.1,1.0,2
uniform,write_trace,30015,0.1624741107225418,0.1,1.0,2
uniform,write_trace,30016,0.16064657270908356,0.1,1.0,2
uniform,dqd,30001,0.16302654147148132,0.1,1.0,2
uniform,dqd,30002,0.16064609587192535,0.1,1.0,2
uniform,dqd,30003,0.16047894954681396,0.1,1.0,2
uniform,dqd,30004,0.15915176272392273,0.1,1.0,2
uniform,dqd,30005,0.17023463547229767,0.1,1.0,2
uniform,dqd,30006,0.16378004848957062,0.1,1.0,2
uniform,dqd,30007,0.16568666696548462,0.1,1.0,2
uniform,dqd,30008,0.1586388796567917,0.1,1.0,2
uniform,dqd,30009,0.15959839522838593,0.1,1.0,2
uniform,dqd,30010,0.16055603325366974,0.1,1.0,2
uniform,dqd,30011,0.1577419936656952,0.1,1.0,2
uniform,dqd,30012,0.16323202848434448,0.1,1.0,2
uniform,dqd,30013,0.16062766313552856,0.1,1.0,2
uniform,dqd,30014,0.1600489318370819,0.1,1.0,2
uniform,dqd,30015,0.1625174731016159,0.1,1.0,2
uniform,dqd,30016,0.16071712970733643,0.1,1.0,2
uniform,full_query_trace,30001,0.1630537211894989,0.1,1.0,4
uniform,full_query_trace,30002,0.16067703068256378,0.1,1.0,4
uniform,full_query_trace,30003,0.16027796268463135,0.1,1.0,4
uniform,full_query_trace,30004,0.15974543988704681,0.1,1.0,4
uniform,full_query_trace,30005,0.17004559934139252,0.1,1.0,4
uniform,full_query_trace,30006,0.16378356516361237,0.1,1.0,4
uniform,full_query_trace,30007,0.16635461151599884,0.1,1.0,4
uniform,full_query_trace,30008,0.1586855947971344,0.1,1.0,4
uniform,full_query_trace,30009,0.15966106951236725,0.1,1.0,4
uniform,full_query_trace,30010,0.16057410836219788,0.1,1.0,4
uniform,full_query_trace,30011,0.15771149098873138,0.1,1.0,4
uniform,full_query_trace,30012,0.16323913633823395,0.1,1.0,4
uniform,full_query_trace,30013,0.16059789061546326,0.1,1.0,4
uniform,full_query_trace,30014,0.15988917648792267,0.1,1.0,4
uniform,full_query_trace,30015,0.162483349442482,0.1,1.0,4
uniform,full_query_trace,30016,0.1607261300086975,0.1,1.0,4
